,Temp_Desig,Score,Discovery_year,Discovery_month,Discovery_day,R.A.,Decl.,V,Updated,NObs,Arc,H,Not_Seen_dys
0,C3QUAM1,100,2023,5,9.2,8.5522,6.5657,21.2,Added May 14.98 UT,3,0.0,20.3,6.192
1,P11FmfE,96,2023,5,14.4,14.8604,4.473,22.0,Added May 14.90 UT,4,0.03,15.3,0.892
2,P11FlRB,100,2023,5,14.6,17.7196,28.8939,22.2,Added May 14.64 UT,3,0.02,17.5,0.747
3,P11FlR8,100,2023,5,14.5,15.6723,17.9304,20.9,Added May 14.61 UT,3,0.04,23.8,0.787
4,P11FlCy,100,2023,5,14.3,13.0574,-10.4197,22.4,Added May 14.54 UT,4,0.03,23.2,1.016
5,P11FlyT,100,2023,5,14.4,12.772,10.6815,20.2,Updated May 14.94 UT,8,0.55,24.6,0.427
6,P11FlA2,40,2023,5,14.4,14.9277,6.5129,21.9,Updated May 14.68 UT,8,20.04,20.8,0.831
7,P11FlzF,100,2023,5,14.4,14.8345,1.835,21.6,Updated May 15.19 UT,8,0.73,24.3,0.194
8,P11Flzn,100,2023,5,14.4,13.8972,7.6859,20.6,Updated May 15.20 UT,8,0.76,22.4,0.173
9,P11FlyR,100,2023,5,14.4,12.7412,11.5983,21.3,Updated May 14.68 UT,5,0.15,21.4,0.836
10,C97XCA2,100,2023,5,13.4,17.3098,22.3566,21.4,Added May 14.48 UT,3,0.01,20.3,1.919
11,P11Fl6t,100,2023,5,14.3,12.3501,-3.9809,21.3,Updated May 14.68 UT,5,0.22,22.3,0.863
12,C3QUG61,100,2023,5,14.4,8.218,2.8361,17.6,Updated May 14.48 UT,12,0.03,24.9,0.875
13,C981132,100,2023,5,14.4,18.1015,17.117,20.4,Updated May 14.47 UT,6,0.06,24.3,0.885
14,C981182,100,2023,5,14.4,17.6479,10.4385,21.3,Updated May 14.47 UT,6,0.05,22.6,0.892
15,C980ZA2,100,2023,5,14.4,16.7552,14.5263,20.6,Updated May 14.46 UT,7,0.06,22.3,0.898
16,C980Y02,100,2023,5,14.4,17.1194,11.8939,20.9,Updated May 14.46 UT,7,0.06,25.9,0.903
17,C980W72,86,2023,5,14.4,16.1265,31.6263,20.2,Updated May 15.30 UT,36,0.65,27.1,0.323
18,P11FiCw,69,2023,5,13.4,15.3817,-26.7681,21.8,Updated May 15.28 UT,6,1.84,19.5,0.092
19,P11FiCx,100,2023,5,13.4,15.7338,-26.5853,22.1,Added May 14.31 UT,3,0.02,19.1,1.904
20,P11FiCs,97,2023,5,13.5,15.3324,-4.6321,21.9,Added May 14.30 UT,3,0.03,22.2,1.84
