,target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
0,C3RA2R1_1,2023-06-28 04:00:00.000,2023-06-28 04:10:00.000,9.999999999999964,250.02449999999996,48.3436,"{'object': 'C3RA2R1_1', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate C3RA2R1 (MPC NEO)}"
2,Focus,2023-06-28 04:14:00.000,2023-06-28 04:19:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
3,P21GF6y_1,2023-06-28 04:19:00.000,2023-06-28 04:39:00.000,20.00000000000009,259.5915,5.1163,"{'object': 'P21GF6y_1', 'type': 'MPC NEO', 'duration': 1200.0, 'candidate': Candidate P21GF6y (MPC NEO)}"
4,Unused Time,2023-06-28 04:39:00.000,2023-06-28 04:41:00.000,1.999999999999993,,,
6,Focus,2023-06-28 04:45:00.000,2023-06-28 04:50:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
7,C9DM1Z2_1,2023-06-28 04:50:00.000,2023-06-28 05:20:00.000,30.000000000000053,260.889,-4.4494,"{'object': 'C9DM1Z2_1', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate C9DM1Z2 (MPC NEO)}"
8,Unused Time,2023-06-28 05:20:00.000,2023-06-28 05:42:00.000,21.999999999999922,,,
10,Focus,2023-06-28 05:46:00.000,2023-06-28 05:51:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
11,C9DT362_1,2023-06-28 05:51:00.000,2023-06-28 06:01:00.000,9.999999999999964,277.881,50.0486,"{'object': 'C9DT362_1', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate C9DT362 (MPC NEO)}"
13,P21GF6O_1,2023-06-28 06:05:00.000,2023-06-28 06:15:00.000,9.999999999999964,275.3685,57.3089,"{'object': 'P21GF6O_1', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate P21GF6O (MPC NEO)}"
15,Focus,2023-06-28 06:19:00.000,2023-06-28 06:24:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
16,C3RA2R1_2,2023-06-28 06:24:00.000,2023-06-28 06:34:00.000,9.999999999999964,250.02449999999996,48.3436,"{'object': 'C3RA2R1_2', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate C3RA2R1 (MPC NEO)}"
18,Focus,2023-06-28 06:38:00.000,2023-06-28 06:43:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
19,P21GF6y_2,2023-06-28 06:43:00.000,2023-06-28 07:03:00.000,20.000000000000007,259.5915,5.1163,"{'object': 'P21GF6y_2', 'type': 'MPC NEO', 'duration': 1200.0, 'candidate': Candidate P21GF6y (MPC NEO)}"
21,Focus,2023-06-28 07:07:00.000,2023-06-28 07:12:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
22,C9DM1Z2_2,2023-06-28 07:12:00.000,2023-06-28 07:42:00.000,29.99999999999997,260.889,-4.4494,"{'object': 'C9DM1Z2_2', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate C9DM1Z2 (MPC NEO)}"
23,Unused Time,2023-06-28 07:42:00.000,2023-06-28 07:43:00.000,0.9999999999999964,,,
25,Focus,2023-06-28 07:47:00.000,2023-06-28 07:52:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
26,C9DT362_2,2023-06-28 07:52:00.000,2023-06-28 08:02:00.000,9.999999999999964,277.881,50.0486,"{'object': 'C9DT362_2', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate C9DT362 (MPC NEO)}"
28,Focus,2023-06-28 08:06:00.000,2023-06-28 08:11:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
29,P21GGRT_1,2023-06-28 08:11:00.000,2023-06-28 08:41:00.000,30.000000000000053,328.596,7.148,"{'object': 'P21GGRT_1', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GGRT (MPC NEO)}"
31,Focus,2023-06-28 08:45:00.000,2023-06-28 08:50:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
32,P21GF6O_2,2023-06-28 08:50:00.000,2023-06-28 09:00:00.000,9.999999999999964,275.3685,57.3089,"{'object': 'P21GF6O_2', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate P21GF6O (MPC NEO)}"
33,Unused Time,2023-06-28 09:00:00.000,2023-06-28 09:02:00.000,1.999999999999993,,,
35,Focus,2023-06-28 09:06:00.000,2023-06-28 09:11:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
36,P21GELa_1,2023-06-28 09:11:00.000,2023-06-28 09:21:00.000,9.999999999999964,343.06649999999996,29.1265,"{'object': 'P21GELa_1', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate P21GELa (MPC NEO)}"
37,Unused Time,2023-06-28 09:21:00.000,2023-06-28 10:03:00.000,41.99999999999985,,,
39,Focus,2023-06-28 10:07:00.000,2023-06-28 10:12:00.000,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
40,P21GGRT_2,2023-06-28 10:12:00.000,2023-06-28 10:42:00.000,29.99999999999997,328.596,7.148,"{'object': 'P21GGRT_2', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GGRT (MPC NEO)}"
