DateTime|Occupied|Target|Move|RA|Dec|ExposureTime|#Exposure|Filter|Description
2023-07-07T04:00:00.000|1|C9DUKP2|1|245.389|16.146|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0400, RA: 16:21:33.48, DEC: 16:08:45.6, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:01:00.000|1|C9DUKP2|1|245.391|16.144|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0401, RA: 16:21:33.84, DEC: 16:08:38.4, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:02:00.000|1|C9DUKP2|1|245.392|16.141|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0402, RA: 16:21:34.2, DEC: 16:08:27.6, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:03:00.000|1|C9DUKP2|1|245.394|16.139|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0403, RA: 16:21:34.56, DEC: 16:08:20.4, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:04:00.000|1|C9DUKP2|1|245.395|16.137|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0404, RA: 16:21:34.92, DEC: 16:08:13.2, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:05:00.000|1|C9DUKP2|1|245.398|16.135|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0405, RA: 16:21:35.64, DEC: 16:08:06, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:06:00.000|1|C9DUKP2|1|245.4|16.133|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0406, RA: 16:21:36, DEC: 16:07:58.8, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:07:00.000|1|C9DUKP2|1|245.401|16.131|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0407, RA: 16:21:36.36, DEC: 16:07:51.6, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:08:00.000|1|C9DUKP2|1|245.403|16.129|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0408, RA: 16:21:36.72, DEC: 16:07:44.4, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:09:00.000|1|C9DUKP2|1|245.404|16.127|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0409, RA: 16:21:37.08, DEC: 16:07:37.2, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:10:00.000|1|C9DUKP2|1|245.406|16.124|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0410, RA: 16:21:37.44, DEC: 16:07:26.4, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:11:00.000|1|C9DUKP2|1|245.409|16.122|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0411, RA: 16:21:38.16, DEC: 16:07:19.2, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:12:00.000|1|C9DUKP2|1|245.41|16.12|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0412, RA: 16:21:38.52, DEC: 16:07:12, dRA: 6.6, dDEC: -7.8'
2023-07-07T04:13:00.000|1|C9DUKP2|1|245.412|16.118|1.0|600.0|CLEAR|'MPC Asteroid C9DUKP2, UT: 0413, RA: 16:21:38.88, DEC: 16:07:04.8, dRA: 6.6, dDEC: -7.8'
