DateTime|Occupied|Target|Move|RA|Dec|ExposureTime|#Exposure|Filter|Description
2023-07-05T09:00:00.000|1|P21GGRT|1|328|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0900, RA: 21:52:00.12, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:01:00.000|1|P21GGRT|1|328|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0901, RA: 21:52:00.12, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:02:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0902, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:03:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0903, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:04:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0904, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:05:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0905, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:06:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0906, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:07:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0907, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:08:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0908, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:09:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0909, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:10:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0910, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:11:00.000|1|P21GGRT|1|327.999|7.84|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0911, RA: 21:51:59.76, DEC: 7:50:24, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:12:00.000|1|P21GGRT|1|327.999|7.841|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0912, RA: 21:51:59.76, DEC: 7:50:27.6, dRA: -0.24, dDEC: 0.24'
2023-07-05T09:13:00.000|1|P21GGRT|1|327.999|7.841|3.0|600.0|CLEAR|'MPC Asteroid P21GGRT, UT: 0913, RA: 21:51:59.76, DEC: 7:50:27.6, dRA: -0.24, dDEC: 0.24'
