Target,Start Time (UTC),End Time (UTC),Duration (Minutes),RA,Dec,Tags
A10VJYv_1,2023-07-04 09:03:10,2023-07-04 09:08:10,5.0,326.103,-10.2984,"{'object': 'A10VJYv_1', 'type': 'MPC NEO', 'duration': 300.0, 'candidate': Candidate A10VJYv (MPC NEO)}"
P21GJLK_1,2023-07-04 09:12:10,2023-07-04 09:42:10,30.0,337.695,10.3293,"{'object': 'P21GJLK_1', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GJLK (MPC NEO)}"
Focus,2023-07-04 09:46:10,2023-07-04 09:51:10,5.0,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
P21GIIj_1,2023-07-04 09:51:10,2023-07-04 10:21:10,30.0,329.8155,22.226,"{'object': 'P21GIIj_1', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GIIj (MPC NEO)}"
P21GGRT_1,2023-07-04 10:25:10,2023-07-04 10:55:10,30.0,328.0905,7.7502,"{'object': 'P21GGRT_1', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GGRT (MPC NEO)}"
Focus,2023-07-04 10:59:10,2023-07-04 11:04:10,5.0,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
P21GGRT_2,2023-07-04 11:04:10,2023-07-04 11:34:10,30.0,328.0905,7.7502,"{'object': 'P21GGRT_2', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GGRT (MPC NEO)}"
A10VJYv_2,2023-07-04 11:38:10,2023-07-04 11:43:10,5.0,326.103,-10.2984,"{'object': 'A10VJYv_2', 'type': 'MPC NEO', 'duration': 300.0, 'candidate': Candidate A10VJYv (MPC NEO)}"
Focus,2023-07-04 11:47:10,2023-07-04 11:52:10,5.0,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
P21GIIj_2,2023-07-04 11:52:10,2023-07-04 12:22:10,30.0,329.8155,22.226,"{'object': 'P21GIIj_2', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GIIj (MPC NEO)}"
P21GJLK_2,2023-07-04 12:26:10,2023-07-04 12:56:10,30.0,337.695,10.3293,"{'object': 'P21GJLK_2', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GJLK (MPC NEO)}"
Unused Time,2023-07-04 12:56:10,2023-07-04 15:40:00,163.8,,,
