,target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
0,P11Gvl8_1,2023-06-23 04:20:00.000,2023-06-23 04:40:00.000,20.00000000000009,253.737,-13.8647,"{'object': 'P11Gvl8_1', 'type': 'MPC NEO', 'duration': 1200.0, 'candidate': Candidate P11Gvl8 (MPC NEO)}"
2,P11GxNv_1,2023-06-23 04:44:26.223,2023-06-23 04:54:26.223,9.999999999999964,251.03249999999994,6.9408,"{'object': 'P11GxNv_1', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate P11GxNv (MPC NEO)}"
4,P11Gvl8_2,2023-06-23 04:58:52.447,2023-06-23 05:18:52.447,20.00000000000009,253.737,-13.8647,"{'object': 'P11Gvl8_2', 'type': 'MPC NEO', 'duration': 1200.0, 'candidate': Candidate P11Gvl8 (MPC NEO)}"
6,P11GxNv_2,2023-06-23 05:23:18.670,2023-06-23 05:33:18.670,9.999999999999964,251.03249999999994,6.9408,"{'object': 'P11GxNv_2', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate P11GxNv (MPC NEO)}"
8,Focus,2023-06-23 05:39:34.692,2023-06-23 05:44:34.692,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
9,Sar2689_1,2023-06-23 05:44:34.692,2023-06-23 05:49:34.692,4.999999999999982,255.23849999999996,12.6349,"{'object': 'Sar2689_1', 'type': 'MPC NEO', 'duration': 300.0, 'candidate': Candidate Sar2689 (MPC NEO)}"
11,C9CZ9R2_1,2023-06-23 05:54:14.964,2023-06-23 06:04:14.964,9.999999999999964,222.2445,12.0446,"{'object': 'C9CZ9R2_1', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate C9CZ9R2 (MPC NEO)}"
13,P11Gvm7_1,2023-06-23 06:09:09.289,2023-06-23 06:19:09.289,9.999999999999964,254.26049999999998,-17.7824,"{'object': 'P11Gvm7_1', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate P11Gvm7 (MPC NEO)}"
15,Sar2689_2,2023-06-23 06:23:47.331,2023-06-23 06:28:47.331,4.999999999999982,255.23849999999996,12.6349,"{'object': 'Sar2689_2', 'type': 'MPC NEO', 'duration': 300.0, 'candidate': Candidate Sar2689 (MPC NEO)}"
17,C9CZ9R2_2,2023-06-23 06:33:27.603,2023-06-23 06:43:27.603,9.999999999999964,222.2445,12.0446,"{'object': 'C9CZ9R2_2', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate C9CZ9R2 (MPC NEO)}"
19,Focus,2023-06-23 06:50:18.078,2023-06-23 06:55:18.078,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
20,P11Gvm7_2,2023-06-23 06:55:18.078,2023-06-23 07:05:18.078,10.000000000000044,254.26049999999998,-17.7824,"{'object': 'P11Gvm7_2', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate P11Gvm7 (MPC NEO)}"
22,P21GyDW_1,2023-06-23 07:10:23.986,2023-06-23 07:40:23.986,30.000000000000053,307.0875,-6.3532,"{'object': 'P21GyDW_1', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GyDW (MPC NEO)}"
24,P21GyQj_1,2023-06-23 07:44:35.261,2023-06-23 07:54:35.261,9.999999999999964,315.60149999999993,-9.5629,"{'object': 'P21GyQj_1', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate P21GyQj (MPC NEO)}"
26,Focus,2023-06-23 07:59:31.764,2023-06-23 08:04:31.764,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
27,P21GyDW_2,2023-06-23 08:04:31.764,2023-06-23 08:34:31.764,29.99999999999997,307.0875,-6.3532,"{'object': 'P21GyDW_2', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21GyDW (MPC NEO)}"
29,P21GyQj_2,2023-06-23 08:38:43.039,2023-06-23 08:48:43.039,9.999999999999964,315.60149999999993,-9.5629,"{'object': 'P21GyQj_2', 'type': 'MPC NEO', 'duration': 600.0, 'candidate': Candidate P21GyQj (MPC NEO)}"
31,P21Gsxg_1,2023-06-23 08:53:14.497,2023-06-23 09:23:14.497,29.99999999999997,338.337,1.4274,"{'object': 'P21Gsxg_1', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21Gsxg (MPC NEO)}"
33,Focus,2023-06-23 09:27:41.629,2023-06-23 09:32:41.629,4.999999999999982,0.0,0.0,"{'object': 'Focus', 'type': 'Focus', 'duration': 300}"
34,P21Gsxg_2,2023-06-23 09:32:41.629,2023-06-23 10:02:41.629,29.99999999999997,338.337,1.4274,"{'object': 'P21Gsxg_2', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21Gsxg (MPC NEO)}"
36,P21Gsp5_1,2023-06-23 10:06:47.782,2023-06-23 10:26:47.782,20.000000000000007,341.364,5.314,"{'object': 'P21Gsp5_1', 'type': 'MPC NEO', 'duration': 1200.0, 'candidate': Candidate P21Gsp5 (MPC NEO)}"
38,P21Gs1U_1,2023-06-23 10:31:02.492,2023-06-23 11:01:02.492,29.99999999999997,332.38199999999995,13.0622,"{'object': 'P21Gs1U_1', 'type': 'MPC NEO', 'duration': 1800.0, 'candidate': Candidate P21Gs1U (MPC NEO)}"
